id,lon,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation
YRK1,30.827333,-24.401639,22.46742708,13.62577083,61.18304858,304.5389763,31.86325,9.59275,22.2705,25.735875,18.30970833,25.735875,18.30970833,622.9277547,133.0519458,7.110424503,82.84898866,326.070257,22.64796159,326.070257,22.64796159,790
YRK2,30.274472,-23.858417,21.79833333,14.34883333,60.44795506,348.676134,31.50175,7.76425,23.7375,25.36579167,16.93945833,25.36579167,16.93945833,746.0452625,141.3332615,9.417018812,82.60398715,391.1085304,31.5524157,391.1085304,31.5524157,771
YRK3,30.28,-23.08,21.25113542,12.0451875,60.71545586,293.4320036,29.625,9.78625,19.83875,24.33979167,17.21375,24.33979167,17.21375,879.1947266,186.5660438,12.42871948,85.29698876,486.7299851,46.20903289,486.7299851,46.20903289,781
YRK4,30.12219,-24.815648,20.92808333,15.21733333,60.0597282,368.3827477,31.13575,5.79875,25.337,24.27679167,17.45520833,24.72875,15.90425,565.6924508,128.3873892,0.370988248,90.58462718,303.2421031,7.306359821,279.1069452,12.01155537,797
YRK5,27.567786,-23.574634,21.31642708,16.44589583,56.05997983,482.2426001,33.018,3.68175,29.33625,25.82504167,14.72483333,25.82504167,14.72483333,416.1270304,78.15469411,2.102646107,89.29204339,230.7640854,7.166497074,230.7640854,7.166497074,802
YRK6,29.57,-23.15,20.48163542,14.4933125,58.41604361,377.5383153,30.416,5.6055,24.8105,24.02633333,15.270375,24.27979167,15.270375,375.1443058,67.18808487,1.377723735,84.33378835,193.3179434,11.50999211,190.5755518,11.50999211,825
YRK7,29.45,-23.87,18.79258333,13.45708333,56.64530432,381.9850034,28.36525,4.6085,23.75675,22.30266667,13.5155,22.6945,13.5155,460.0935278,90.57543903,2.327493115,86.27319365,246.3579832,9.309448604,226.0699485,9.309448604,825
YRK8,30.123622,-24.824289,20.92808333,15.21733333,60.0597282,368.3827477,31.13575,5.79875,25.337,24.27679167,17.45520833,24.72875,15.90425,551.2362469,124.0845067,0.304810777,90.37208694,294.7186901,6.825211142,271.1568894,11.51627682,809
YRK9,31.02,-22.68,23.13816667,13.47791667,62.58319403,289.2614951,32.8435,11.3075,21.536,26.16883333,19.24070833,26.16883333,19.24070833,467.9314325,100.1984262,2.886580782,90.63901836,272.0473003,11.98725837,272.0473003,11.98725837,808
YRK10,30.38,-23.07,21.95575,12.27791667,57.07141723,341.7625961,30.968,9.45475,21.51325,25.45708333,17.24066667,25.45708333,17.24066667,720.6784157,150.3335497,9.814088292,85.68534378,400.617654,34.20348949,400.617654,34.20348949,808
YRK11,30.140511,-22.631264,22.6169375,12.91241667,57.98837605,354.450767,31.93175,9.6645,22.26725,26.03454167,19.21504167,26.26566667,17.772375,404.0091794,81.81199542,0.167398171,91.32037376,222.4293461,3.651089837,219.7519435,9.507748576,800
YRK12,30.35,-22.97,20.78853125,11.70052083,59.09130126,306.366875,29.0415,9.24075,19.80075,23.902,16.49133333,23.902,16.49133333,1005.409223,208.7471023,11.45735819,83.6283681,553.1960817,50.14957849,553.1960817,50.14957849,778
YRK13,29.646944,-22.172222,22.84535417,15.043875,56.93746629,411.8074136,33.49925,7.0775,26.42175,26.826875,19.16025,26.986375,17.21941667,318.0231023,66.485081,0.182502814,93.17897667,180.8372464,3.585882871,175.1132183,5.010965989,773
YRK14,29.8,-23.32,19.28323958,12.66285417,57.72964892,339.5852508,28.00125,6.0665,21.93475,22.81845833,14.58770833,22.81845833,14.58770833,554.0385755,113.1946635,4.821647762,85.98490123,301.4888472,17.79314104,301.4888472,17.79314104,808
YRK15,30.08,-23.75,19.10938542,12.68860417,59.9112525,289.8175656,27.50275,6.32375,21.179,22.03629167,15.11716667,22.03629167,15.11716667,1125.640563,221.986813,12.92832641,83.96404835,608.6039545,48.12641614,608.6039545,48.12641614,781
YRK16,29.52,-23.88,18.1709375,13.05579167,55.74752521,381.9166869,27.48075,4.06125,23.4195,21.630625,12.89845833,22.04129167,12.89845833,496.9114054,90.84905349,2.438336272,86.18117877,260.2895204,10.45177359,252.1328764,10.45177359,797
YRK17,30.7,-23.9,22.24067708,14.0951875,60.52164065,336.6060372,31.7755,8.486,23.2895,25.70966667,17.563625,25.70966667,17.563625,548.4008189,97.751077,5.407451277,82.12036494,289.939705,19.91199916,289.939705,19.91199916,825
YRK18,30.05,-23.17,20.12739583,12.16375,58.61624461,314.6491511,28.7215,7.97,20.7515,23.42616667,15.81541667,23.42616667,15.81541667,762.0468177,159.569322,10.89393412,84.26196403,412.8036479,35.26849922,412.8036479,35.26849922,791
YRK19,30.27,-23,19.48501042,11.48485417,59.32642431,291.4405136,27.774,8.41525,19.35875,22.48841667,15.52145833,22.516,15.52145833,1294.783333,285.3299478,14.06245216,86.56999807,737.4670834,64.26361446,620.6552279,64.26361446,813
YRK20,30.1,-23.08,19.42979167,11.85470833,56.89053921,326.7602418,28.0655,7.22775,20.83775,22.66966667,14.95933333,22.68733333,14.95933333,950.0557822,204.5635681,12.43905502,83.77643356,519.6099813,47.24948202,442.9480367,47.24948202,809
YRK21,29.92,-23.02,19.2684375,12.29479167,56.83153252,336.0822638,28.18775,6.554,21.63375,22.57466667,14.68154167,22.62433333,14.68154167,782.1999655,174.3480824,9.489479228,86.96812083,430.3297256,32.66025541,365.9979545,32.66025541,797
YRK22,30.13,-23.78,20.89645833,13.53454167,59.73734833,334.4673156,29.886,7.22925,22.65675,24.042375,16.33229167,24.34454167,16.33229167,933.387037,184.264989,10.30380011,86.08342297,503.3845026,35.44025805,496.3200738,35.44025805,813
YRK23,30.67,-23.67,22.43604167,14.07183333,59.72067494,345.2506313,32.17,8.60725,23.56275,26.07095833,17.66208333,26.07095833,17.66208333,538.1576219,100.8413345,6.817086545,81.23718405,283.8870805,23.35159028,283.8870805,23.35159028,808
