id,lon,lat,,,,,,,,,,,,,,,,,,,,
YRK1,30.827333,-24.401639,,,,,,,,,,,,,,,,,,,,
YRK2,30.274472,-23.858417,,,,,,,,,,,,,,,,,,,,
YRK3,30.28,-23.08,,,,,,,,,,,,,,,,,,,,
YRK4,30.12219,-24.815648,,,,,,,,,,,,,,,,,,,,
YRK5,27.567786,-23.574634,,,,,,,,,,,,,,,,,,,,
YRK6,29.57,-23.15,,,,,,,,,,,,,,,,,,,,
YRK7,29.45,-23.87,,,,,,,,,,,,,,,,,,,,
YRK8,30.123622,-24.824289,,,,,,,,,,,,,,,,,,,,
YRK9,31.02,-22.68,,,,,,,,,,,,,,,,,,,,
YRK10,30.38,-23.07,,,,,,,,,,,,,,,,,,,,
YRK11,30.140511,-22.631264,,,,,,,,,,,,,,,,,,,,
YRK12,30.35,-22.97,,,,,,,,,,,,,,,,,,,,
YRK13,29.646944,-22.172222,,,,,,,,,,,,,,,,,,,,
YRK14,29.8,-23.32,,,,,,,,,,,,,,,,,,,,
YRK15,30.08,-23.75,,,,,,,,,,,,,,,,,,,,
YRK16,29.52,-23.88,,,,,,,,,,,,,,,,,,,,
YRK17,30.7,-23.9,,,,,,,,,,,,,,,,,,,,
YRK18,30.05,-23.17,,,,,,,,,,,,,,,,,,,,
YRK19,30.27,-23,,,,,,,,,,,,,,,,,,,,
YRK20,30.1,-23.08,,,,,,,,,,,,,,,,,,,,
YRK21,29.92,-23.02,,,,,,,,,,,,,,,,,,,,
YRK22,30.13,-23.78,,,,,,,,,,,,,,,,,,,,
YRK23,30.67,-23.67,,,,,,,,,,,,,,,,,,,,
YRK24,30.15,-22.98,,,,,,,,,,,,,,,,,,,,
YRK25,29.58,-23.9,,,,,,,,,,,,,,,,,,,,
YRK26,30.22,-23.05,,,,,,,,,,,,,,,,,,,,
YRK27,30.02,-23.33,,,,,,,,,,,,,,,,,,,,
YRK28,29.55,-23.37,,,,,,,,,,,,,,,,,,,,
YRK29,30.1,-23.73,,,,,,,,,,,,,,,,,,,,
YRK30,30.28,-23.08,,,,,,,,,,,,,,,,,,,,
YRK31,29.9,-23.05,,,,,,,,,,,,,,,,,,,,
YRK32,29.7,-25.02,,,,,,,,,,,,,,,,,,,,
YRK33,29.57,-23.15,,,,,,,,,,,,,,,,,,,,
