id,lon,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation
U12116,-53.52083333,-33.97916667,16.66544792,8.956895833,44.13785952,418.6628283,27.1925,6.8995,20.293,11.6245,20.40904167,21.74820833,11.6245,360.2617665,49.43588506,13.40485618,37.76794959,118.37569,45.92673599,94.87056661,118.37569,200
U10195,-58.3125,-33.39583333,17.84515625,11.1019375,44.13806641,492.770872,31.1235,5.97075,25.15275,21.15045833,11.82458333,23.88479167,11.82458333,929.3293155,95.99653018,42.06529314,24.78906276,272.6614716,142.9050709,262.1592034,142.9050709,200
U10066,-58.3125,-33.35416667,17.78534375,11.14922917,44.1479322,492.9181454,31.1555,5.90125,25.25425,18.02570833,11.76170833,23.82691667,11.76170833,937.7974213,97.08076999,42.69378093,24.85640338,275.6115872,143.5948335,263.5645096,143.5948335,200
U10194,-58.35416667,-33.39583333,17.821125,11.09016667,44.18569133,490.0844745,31.0955,5.9965,25.099,21.12833333,11.83104167,23.82325,11.83104167,938.2507861,97.20141435,42.3192901,24.72640218,277.5866655,144.2803434,267.6667632,144.2803434,200
U10196,-58.27083333,-33.39583333,17.80933333,11.08025,43.94003985,494.4602539,31.15625,5.9395,25.21675,21.119625,11.76891667,23.86866667,11.76891667,939.6327433,97.00516495,43.65615331,24.25657946,275.8199319,146.0499974,265.1349373,146.0499974,200
U10324,-58.3125,-33.4375,17.82675,11.020875,43.76228483,495.6570667,31.1565,5.973,25.1835,21.116375,11.77241667,23.91066667,11.77241667,940.7993572,96.59355334,43.84556418,24.02957504,277.7608744,146.9503906,268.7309773,146.9503906,200
U10065,-58.35416667,-33.35416667,17.79801042,11.18272917,44.27137974,491.3461108,31.1605,5.901,25.2595,21.09266667,11.793875,23.821875,11.793875,944.8268399,97.7757241,42.82716916,24.8324094,279.4241277,144.4662422,268.5402255,144.4662422,200
U10323,-58.35416667,-33.4375,17.8059375,11.05204167,43.99216514,491.8775427,31.1215,5.99875,25.12275,21.09670833,11.79520833,23.8375,11.79520833,946.392253,97.2574996,43.66579573,24.10041834,281.1556093,147.9263953,272.376405,147.9263953,200
U10325,-58.27083333,-33.4375,17.7953125,10.978375,43.62730488,496.8545462,31.12775,5.96375,25.164,21.085875,11.726625,23.89283333,11.726625,950.8884482,97.78321448,45.29973498,23.61990174,280.5002765,149.9131069,271.7395574,149.9131069,200
U10067,-58.27083333,-33.35416667,17.778875,11.143,44.17355454,491.6751673,31.088,5.8625,25.2255,21.09804167,11.77058333,23.79804167,11.77058333,951.062364,98.21270703,44.59911192,24.32344825,278.839703,147.0928923,267.8955966,147.0928923,200
U10193,-58.39583333,-33.39583333,17.79633333,11.12516667,44.46154051,486.2510848,31.01125,5.98925,25.022,21.10258333,11.84775,23.74070833,11.84775,956.8292247,98.99721601,43.63867193,24.64627945,286.7419812,147.8349516,277.4987077,147.8349516,200
U10322,-58.39583333,-33.4375,17.80582292,11.02864583,43.99403966,489.6808195,31.06725,5.99875,25.0685,21.09116667,11.81616667,23.80345833,11.81616667,960.8839925,98.84179555,44.31455513,24.20691297,288.1017883,150.6663302,280.0796246,150.6663302,200
U9937,-58.3125,-33.3125,17.73097917,11.24720833,44.35193948,495.4615152,31.1365,5.7775,25.359,21.01820833,11.68075,23.80895833,11.68075,962.962823,98.91559592,44.93999599,24.33754352,284.0764657,148.5442726,272.386277,148.5442726,200
U10064,-58.39583333,-33.35416667,17.79414583,11.17766667,44.47760402,487.8373236,31.084,5.953,25.131,21.092375,11.82670833,23.7605,11.82670833,963.3498623,99.36750373,44.07649215,24.81069859,288.8833442,147.7367296,278.7065931,147.7367296,200
U9936,-58.35416667,-33.3125,17.7556875,11.23829167,44.27531165,494.0386386,31.1505,5.76775,25.38275,21.05295833,11.71475,23.80920833,11.71475,963.5009058,98.97506804,44.51445963,24.45839498,286.8656856,148.4071698,274.5943156,148.4071698,200
U10453,-58.3125,-33.47916667,17.782,10.93995833,43.52566525,495.1460362,31.10825,5.97375,25.1345,21.061625,11.73241667,23.85745833,11.73241667,964.2642712,98.7191682,46.81942763,23.40089736,286.3636048,153.0918808,279.5696528,153.0918808,200
U10452,-58.35416667,-33.47916667,17.79501042,10.96997917,43.71685281,492.4166907,31.07075,5.9775,25.09325,21.07958333,11.77954167,23.83375,11.77954167,968.878103,99.731941,46.73064825,23.63783445,288.3968547,153.7569963,282.2643648,153.7569963,200
U10454,-58.27083333,-33.47916667,17.75992708,10.9248125,43.50305124,495.7949336,31.04875,5.936,25.11275,21.03683333,11.707125,23.849125,11.707125,973.3720976,99.52073254,48.20822939,23.11122408,288.9495884,155.6297321,282.4429972,155.6297321,200
U10197,-58.22916667,-33.39583333,17.76978125,11.07977083,43.7494653,498.3474412,31.17925,5.85375,25.3255,21.084125,11.68783333,23.88275,11.68783333,974.4991036,99.71182044,46.56699597,23.42731161,289.4444076,154.1036457,277.7293728,154.1036457,200
U10451,-58.39583333,-33.47916667,17.79154167,11.004375,43.96518143,490.8508031,31.036,6.00625,25.02975,23.37170833,11.7945,23.80570833,11.7945,978.0844284,101.1082223,46.60528986,23.9451645,293.9585215,155.429999,287.4242123,155.429999,200
U10326,-58.22916667,-33.4375,17.75013542,10.99647917,43.61691754,498.0550678,31.10175,5.89025,25.2115,21.04470833,11.671875,23.86404167,11.671875,981.5244773,100.4284649,48.24577322,23.09400043,291.6784385,157.0063196,281.8610462,157.0063196,200
U10068,-58.22916667,-33.35416667,17.7681875,11.13545833,44.09383992,494.0559883,31.1585,5.9045,25.254,21.09629167,11.73333333,23.81775,11.73333333,981.5536384,100.4299617,46.99485688,23.36245116,291.6507002,155.2770826,279.4156207,155.2770826,200
